File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V5_J100_T20_R60_B10_W1_S221_N1.txt,5,100,26,1,633,633,0.00,41.30
Ins_V5_J50_T10_R60_B10_W1_S128_N8.txt,5,50,14,1,165,165,0.00,4.03
Ins_V5_J50_T10_R60_B10_W1_S122_N2.txt,5,50,13,1,163,163,0.00,3.78
Ins_V2_J50_T10_R60_B10_W1_S98_N8.txt,2,50,12,1,465,465,0.00,2.44
Ins_V5_J100_T20_R60_B10_W2_S225_N5.txt,5,100,25,2,756,756,0.00,166.73
Ins_V2_J150_T10_R60_B10_W2_S2_N2.txt,2,150,12,2,2045,2045,0.00,295.19
Ins_V2_J100_T10_R60_B10_W4_S185_N5.txt,2,100,12,5,2150,2120,1.40,600.16
Ins_V5_J100_T30_R60_B10_W2_S237_N7.txt,5,100,41,2,1095,1095,0.00,321.46
Ins_V5_J100_T20_R60_B10_W2_S228_N8.txt,5,100,25,2,756,756,0.00,202.01
Ins_V2_J50_T10_R60_B10_W4_S93_N3.txt,2,50,11,4,1019,1019,0.00,5.90
Ins_V2_J100_T30_R60_B10_W1_S209_N9.txt,2,100,36,1,2179,2179,0.00,69.13
Ins_V5_J50_T10_R60_B10_W2_S120_N0.txt,5,50,11,2,190,190,0.00,7.60
Ins_V5_J150_T20_R60_B10_W1_S49_N9.txt,5,150,23,1,879,879,0.00,538.15
Ins_V10_J100_T10_R60_B10_W1_S244_N4.txt,10,100,12,1,147,147,0.00,46.26
Ins_V10_J150_T20_R60_B10_W4_S76_N6.txt,10,150,25,4,731,675,7.66,600.24
Ins_V10_J100_T10_R60_B10_W4_S246_N6.txt,10,100,11,4,328,322,1.83,600.20
Ins_V10_J150_T10_R60_B10_W4_S62_N2.txt,10,150,12,4,577,558,3.29,600.21
Ins_V5_J100_T20_R60_B10_W4_S220_N0.txt,5,100,23,4,989,964,2.53,600.16
Ins_V5_J100_T20_R60_B10_W2_S223_N3.txt,5,100,28,2,814,814,0.00,281.77
Ins_V2_J50_T20_R60_B10_W1_S109_N9.txt,2,50,27,1,817,817,0.00,4.66
Ins_V10_J150_T20_R60_B10_W4_S72_N2.txt,10,150,26,4,780,739,5.26,600.21
Ins_V2_J100_T10_R60_B10_W1_S186_N6.txt,2,100,13,1,1059,1059,0.00,29.03
Ins_V5_J50_T10_R60_B10_W4_S121_N1.txt,5,50,11,5,454,454,0.00,3.83
Ins_V10_J100_T20_R60_B10_W4_S255_N5.txt,10,100,27,4,488,457,6.35,600.15
Ins_V10_J50_T10_R60_B10_W4_S152_N2.txt,10,50,14,4,157,156,0.64,600.30
Ins_V5_J50_T20_R60_B10_W2_S136_N6.txt,5,50,27,2,371,371,0.00,19.14
Ins_V5_J50_T20_R60_B10_W4_S131_N1.txt,5,50,28,4,487,486,0.21,600.67
Ins_V2_J150_T20_R60_B10_W4_S13_N3.txt,2,150,24,4,3940,3895,1.14,600.57
Ins_V5_J150_T10_R60_B10_W1_S31_N1.txt,5,150,12,1,556,556,0.00,460.94
Ins_V2_J150_T10_R60_B10_W2_S1_N1.txt,2,150,12,2,2007,2007,0.00,260.84
Ins_V5_J50_T30_R60_B10_W1_S143_N3.txt,5,50,38,1,412,412,0.00,11.25
Ins_V10_J100_T10_R60_B10_W4_S243_N3.txt,10,100,11,4,335,315,5.97,600.16
Ins_V2_J50_T30_R60_B10_W2_S118_N8.txt,2,50,41,2,1358,1358,0.00,12.41
Ins_V2_J150_T10_R60_B10_W1_S9_N9.txt,2,150,12,1,1470,1470,0.00,139.95
Ins_V10_J100_T10_R60_B10_W2_S244_N4.txt,10,100,12,2,219,219,0.00,593.99
Ins_V2_J50_T10_R60_B10_W1_S99_N9.txt,2,50,11,1,433,433,0.00,1.59
Ins_V10_J50_T20_R60_B10_W4_S168_N8.txt,10,50,26,4,209,209,0.00,123.44
Ins_V10_J50_T30_R60_B10_W4_S178_N8.txt,10,50,43,4,318,318,0.00,167.00
Ins_V10_J50_T20_R60_B10_W1_S161_N1.txt,10,50,25,1,126,126,0.00,0.39
Ins_V5_J150_T10_R60_B10_W4_S34_N4.txt,5,150,12,4,1138,1114,2.11,600.12
Ins_V5_J100_T20_R60_B10_W4_S222_N2.txt,5,100,27,4,1084,1084,0.00,16.34
Ins_V10_J100_T20_R60_B10_W2_S258_N8.txt,10,100,25,2,360,333,7.50,600.11
Ins_V2_J150_T10_R60_B10_W1_S1_N1.txt,2,150,12,1,1497,1497,0.00,187.97
Ins_V10_J150_T30_R60_B10_W1_S87_N7.txt,10,150,35,1,586,570,2.73,600.15
Ins_V2_J50_T20_R60_B10_W1_S104_N4.txt,2,50,26,1,802,802,0.00,6.08
Ins_V2_J50_T10_R60_B10_W1_S90_N0.txt,2,50,11,1,447,447,0.00,1.76
Ins_V5_J100_T10_R60_B10_W2_S219_N9.txt,5,100,12,2,520,520,0.00,457.17
Ins_V5_J150_T30_R60_B10_W4_S54_N4.txt,5,150,35,4,1881,1881,0.00,163.67
Ins_V10_J150_T30_R60_B10_W4_S89_N9.txt,10,150,39,4,953,865,9.23,600.26
Ins_V5_J150_T30_R60_B10_W1_S59_N9.txt,5,150,40,1,1404,1404,0.00,269.84
Ins_V10_J100_T20_R60_B10_W4_S250_N0.txt,10,100,24,4,493,489,0.81,600.20
Ins_V2_J150_T10_R60_B10_W2_S4_N4.txt,2,150,13,2,2108,2108,0.00,490.88
Ins_V10_J150_T20_R60_B10_W4_S70_N0.txt,10,150,26,4,798,752,5.76,600.27
Ins_V2_J100_T30_R60_B10_W2_S202_N2.txt,2,100,38,2,2700,2700,0.00,109.21
Ins_V5_J100_T10_R60_B10_W2_S210_N0.txt,5,100,13,2,518,518,0.00,142.72
Ins_V2_J100_T30_R60_B10_W4_S201_N1.txt,2,100,38,4,3107,3077,0.97,600.16
Ins_V2_J50_T10_R60_B10_W4_S95_N5.txt,2,50,12,4,1021,1021,0.00,28.23
Ins_V5_J100_T30_R60_B10_W4_S239_N9.txt,5,100,37,4,1305,1245,4.60,600.14
Ins_V10_J100_T30_R60_B10_W1_S266_N6.txt,10,100,37,1,395,395,0.00,164.34
Ins_V5_J150_T30_R60_B10_W4_S59_N9.txt,5,150,40,4,2048,2004,2.15,600.14
Ins_V5_J150_T10_R60_B10_W4_S35_N5.txt,5,150,12,4,1192,1167,2.10,600.11
Ins_V5_J50_T30_R60_B10_W2_S141_N1.txt,5,50,35,2,462,462,0.00,28.89
Ins_V2_J100_T30_R60_B10_W4_S209_N9.txt,2,100,36,4,3319,3319,0.00,592.68
