File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J50_T20_R60_B10_W2_S163_N3.txt,10,50,24,2,144,154,6.94,0.06
Ins_V10_J150_T30_R60_B10_W4_S80_N0.txt,10,150,34,4,862,862,0.00,11.71
Ins_V2_J150_T30_R60_B10_W1_S27_N7.txt,2,150,38,1,3513,3513,0.00,0.32
Ins_V2_J100_T10_R60_B10_W4_S182_N2.txt,2,100,11,4,1892,1892,0.00,0.37
Ins_V2_J200_T20_R60_B10_W1_S289_N9.txt,2,200,25,1,3339,3339,0.00,0.81
Ins_V10_J150_T10_R60_B10_W4_S65_N5.txt,10,150,12,4,537,537,0.00,241.10
Ins_V2_J50_T30_R60_B10_W1_S116_N6.txt,2,50,35,1,1045,1045,0.00,0.03
Ins_V5_J150_T10_R60_B10_W1_S37_N7.txt,5,150,12,1,537,537,0.00,0.55
Ins_V10_J150_T10_R60_B10_W1_S60_N0.txt,10,150,12,1,248,248,0.00,0.43
Ins_V10_J200_T30_R60_B10_W2_S357_N7.txt,10,200,36,2,978,978,0.00,1.86
Ins_V10_J50_T10_R60_B10_W2_S157_N7.txt,10,50,12,2,93,102,9.68,0.06
Ins_V2_J150_T20_R60_B10_W2_S11_N1.txt,2,150,26,2,2958,2958,0.00,0.56
Ins_V10_J100_T30_R60_B10_W4_S262_N2.txt,10,100,34,4,590,590,0.00,2.27
Ins_V10_J100_T10_R60_B10_W2_S245_N5.txt,10,100,11,2,210,210,0.00,1.85
Ins_V5_J200_T20_R60_B10_W4_S315_N5.txt,5,200,23,4,1969,1969,0.00,240.19
Ins_V10_J100_T20_R60_B10_W2_S257_N7.txt,10,100,27,2,376,378,0.53,2.53
Ins_V10_J200_T30_R60_B10_W2_S353_N3.txt,10,200,38,2,1028,1028,0.00,37.51
Ins_V2_J50_T30_R60_B10_W2_S110_N0.txt,2,50,35,2,1227,1227,0.00,0.03
Ins_V2_J200_T10_R60_B10_W4_S273_N3.txt,2,200,11,4,3812,3812,0.00,240.23
